14:58:13.536 Temperature_(C): 20.70, Humidity_(%): 56.40, VOC_(PPM): 159.32, CO2_(PPM): 798.00, PM1.0_(ug/m3): 32, PM2.5_(ug/m3): 41, PM10_(ug/m3): 46
14:58:14.404 Temperature_(C): 20.70, Humidity_(%): 56.40, VOC_(PPM): 141.40, CO2_(PPM): 801.00, PM1.0_(ug/m3): 32, PM2.5_(ug/m3): 41, PM10_(ug/m3): 46
14:58:15.297 Temperature_(C): 20.70, Humidity_(%): 56.40, VOC_(PPM): 159.32, CO2_(PPM): 805.00, PM1.0_(ug/m3): 29, PM2.5_(ug/m3): 36, PM10_(ug/m3): 38
14:58:16.235 Temperature_(C): 20.70, Humidity_(%): 57.00, VOC_(PPM): 118.46, CO2_(PPM): 808.00, PM1.0_(ug/m3): 26, PM2.5_(ug/m3): 32, PM10_(ug/m3): 32
14:58:17.132 Temperature_(C): 20.70, Humidity_(%): 57.00, VOC_(PPM): 158.78, CO2_(PPM): 810.00, PM1.0_(ug/m3): 23, PM2.5_(ug/m3): 29, PM10_(ug/m3): 29
14:58:18.054 Temperature_(C): 20.80, Humidity_(%): 56.70, VOC_(PPM): 297.53, CO2_(PPM): 810.00, PM1.0_(ug/m3): 20, PM2.5_(ug/m3): 23, PM10_(ug/m3): 23
14:58:18.967 Temperature_(C): 20.80, Humidity_(%): 56.70, VOC_(PPM): 158.90, CO2_(PPM): 813.00, PM1.0_(ug/m3): 18, PM2.5_(ug/m3): 21, PM10_(ug/m3): 21
14:58:19.889 Temperature_(C): 20.70, Humidity_(%): 56.50, VOC_(PPM): 444.95, CO2_(PPM): 815.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
14:58:20.802 Temperature_(C): 20.70, Humidity_(%): 56.50, VOC_(PPM): 159.23, CO2_(PPM): 817.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
14:58:21.752 Temperature_(C): 20.70, Humidity_(%): 57.20, VOC_(PPM): 174.03, CO2_(PPM): 818.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
14:58:22.646 Temperature_(C): 20.70, Humidity_(%): 57.20, VOC_(PPM): 154.91, CO2_(PPM): 817.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
14:58:23.588 Temperature_(C): 20.80, Humidity_(%): 57.20, VOC_(PPM): 173.86, CO2_(PPM): 816.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 0
14:58:24.501 Temperature_(C): 20.80, Humidity_(%): 57.20, VOC_(PPM): 154.76, CO2_(PPM): 816.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 0
14:58:25.418 Temperature_(C): 20.80, Humidity_(%): 57.20, VOC_(PPM): 166.02, CO2_(PPM): 811.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
14:58:26.332 Temperature_(C): 20.70, Humidity_(%): 56.80, VOC_(PPM): 144.54, CO2_(PPM): 790.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 1
