10:07:03.711 Temperature_(C): 21.70, Humidity_(%): 70.30, VOC_(PPM): 156.32, CO2_(PPM): 457.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:04.559 Temperature_(C): 21.60, Humidity_(%): 71.20, VOC_(PPM): 152.11, CO2_(PPM): 455.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:05.472 Temperature_(C): 21.60, Humidity_(%): 71.20, VOC_(PPM): 152.11, CO2_(PPM): 453.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:06.316 Temperature_(C): 21.60, Humidity_(%): 71.10, VOC_(PPM): 174.49, CO2_(PPM): 450.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:07.151 Temperature_(C): 21.60, Humidity_(%): 71.10, VOC_(PPM): 141.87, CO2_(PPM): 450.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
10:07:08.062 Temperature_(C): 21.60, Humidity_(%): 71.10, VOC_(PPM): 152.20, CO2_(PPM): 447.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 6, PM10_(ug/m3): 6
10:07:08.999 Temperature_(C): 21.60, Humidity_(%): 71.30, VOC_(PPM): 131.92, CO2_(PPM): 445.00, PM1.0_(ug/m3): 5, PM2.5_(ug/m3): 8, PM10_(ug/m3): 8
10:07:09.912 Temperature_(C): 21.60, Humidity_(%): 71.30, VOC_(PPM): 145.09, CO2_(PPM): 443.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 11
10:07:10.826 Temperature_(C): 21.50, Humidity_(%): 71.40, VOC_(PPM): 128.83, CO2_(PPM): 440.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 12, PM10_(ug/m3): 13
10:07:11.764 Temperature_(C): 21.50, Humidity_(%): 71.40, VOC_(PPM): 141.77, CO2_(PPM): 438.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 14, PM10_(ug/m3): 18
10:07:12.677 Temperature_(C): 21.60, Humidity_(%): 71.60, VOC_(PPM): 122.43, CO2_(PPM): 436.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 15, PM10_(ug/m3): 22
10:07:13.591 Temperature_(C): 21.60, Humidity_(%): 71.60, VOC_(PPM): 138.15, CO2_(PPM): 435.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 16, PM10_(ug/m3): 23
10:07:14.508 Temperature_(C): 21.40, Humidity_(%): 71.80, VOC_(PPM): 148.39, CO2_(PPM): 432.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 17, PM10_(ug/m3): 24
10:07:15.422 Temperature_(C): 21.40, Humidity_(%): 71.80, VOC_(PPM): 135.01, CO2_(PPM): 430.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 24
10:07:16.335 Temperature_(C): 21.40, Humidity_(%): 71.90, VOC_(PPM): 155.35, CO2_(PPM): 430.00, PM1.0_(ug/m3): 13, PM2.5_(ug/m3): 19, PM10_(ug/m3): 29
10:07:17.261 Temperature_(C): 21.40, Humidity_(%): 71.90, VOC_(PPM): 131.73, CO2_(PPM): 428.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 18, PM10_(ug/m3): 27
10:07:18.170 Temperature_(C): 21.40, Humidity_(%): 71.90, VOC_(PPM): 144.87, CO2_(PPM): 426.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 16, PM10_(ug/m3): 24
