08:16:29.563 Temperature_(C): 19.90, Humidity_(%): 81.60, VOC_(PPM): 155.45, CO2_(PPM): 837.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 15, PM10_(ug/m3): 15
08:16:30.469 Temperature_(C): 19.90, Humidity_(%): 81.60, VOC_(PPM): 138.47, CO2_(PPM): 839.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 17, PM10_(ug/m3): 17
08:16:31.337 Temperature_(C): 19.90, Humidity_(%): 81.60, VOC_(PPM): 170.09, CO2_(PPM): 840.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 17, PM10_(ug/m3): 17
08:16:32.180 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 129.40, CO2_(PPM): 842.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 17, PM10_(ug/m3): 17
08:16:33.094 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 145.58, CO2_(PPM): 843.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:33.943 Temperature_(C): 19.90, Humidity_(%): 81.30, VOC_(PPM): 132.30, CO2_(PPM): 845.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:34.798 Temperature_(C): 19.90, Humidity_(%): 81.30, VOC_(PPM): 141.99, CO2_(PPM): 845.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:35.711 Temperature_(C): 20.00, Humidity_(%): 81.20, VOC_(PPM): 129.63, CO2_(PPM): 845.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:36.551 Temperature_(C): 20.00, Humidity_(%): 81.20, VOC_(PPM): 149.25, CO2_(PPM): 847.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:37.419 Temperature_(C): 20.00, Humidity_(%): 81.20, VOC_(PPM): 167.20, CO2_(PPM): 847.00, PM1.0_(ug/m3): 8, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:38.334 Temperature_(C): 19.90, Humidity_(%): 81.50, VOC_(PPM): 141.83, CO2_(PPM): 847.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:39.177 Temperature_(C): 19.90, Humidity_(%): 81.50, VOC_(PPM): 152.02, CO2_(PPM): 848.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:40.020 Temperature_(C): 20.00, Humidity_(%): 81.70, VOC_(PPM): 132.37, CO2_(PPM): 850.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 18, PM10_(ug/m3): 18
08:16:40.959 Temperature_(C): 20.00, Humidity_(%): 81.70, VOC_(PPM): 145.41, CO2_(PPM): 851.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
08:16:41.798 Temperature_(C): 20.00, Humidity_(%): 81.50, VOC_(PPM): 132.53, CO2_(PPM): 851.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 19, PM10_(ug/m3): 19
