15:36:05.485 Temperature_(C): 22.00, Humidity_(%): 55.30, VOC_(PPM): 537.97, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:36:06.325 Temperature_(C): 22.00, Humidity_(%): 55.30, VOC_(PPM): 566.64, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:36:07.243 Temperature_(C): 21.90, Humidity_(%): 55.30, VOC_(PPM): 586.98, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:36:08.078 Temperature_(C): 21.90, Humidity_(%): 55.30, VOC_(PPM): 567.19, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:36:08.934 Temperature_(C): 21.90, Humidity_(%): 55.30, VOC_(PPM): 577.02, CO2_(PPM): 435.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:36:09.857 Temperature_(C): 21.80, Humidity_(%): 55.30, VOC_(PPM): 548.46, CO2_(PPM): 435.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
15:36:10.695 Temperature_(C): 21.80, Humidity_(%): 55.30, VOC_(PPM): 597.65, CO2_(PPM): 435.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
15:36:11.569 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 529.99, CO2_(PPM): 435.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3
15:36:12.479 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 568.06, CO2_(PPM): 435.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 3

